iso3,country,region,subregion,GDP_capita_PPP_1999,GDP_capita_PPP_2000,GDP_capita_PPP_2001,GDP_capita_PPP_2002,GDP_capita_PPP_2003,GDP_capita_PPP_2004,GDP_capita_PPP_2005,GDP_capita_PPP_2006,GDP_capita_PPP_2007,GDP_capita_PPP_2008,GDP_capita_PPP_2009,GDP_capita_PPP_2010,GDP_capita_PPP_2011,GDP_capita_PPP_2012,GDP_capita_PPP_2013,GDP_capita_PPP_2014,GDP_capita_PPP_2015,GDP_capita_PPP_2016,GDP_capita_PPP_2017,population_2017,u5mr_1999,u5mr_2000,u5mr_2001,u5mr_2002,u5mr_2003,u5mr_2004,u5mr_2005,u5mr_2006,u5mr_2007,u5mr_2008,u5mr_2009,u5mr_2010,u5mr_2011,u5mr_2012,u5mr_2013,u5mr_2014,u5mr_2015,u5mr_2016,u5mr_2017,basic_sanitation_2015,basic_water_2015,Fruit_2016,Vegetables_2016,Whole grain_2016,Calcium_2016,Processed meat_2016,Red meat_2016,Salt_2016,Saturated fat_2016,Sugar_sweetened_beverages_2016,Trans fat_2016,child_overweight_plan,fbdg,overweight_adults_adoles_plan,sugar_tax,sodium_plan,wasting_plan,country_class,gender_inequality_score_2017,gender_inequality_rank_2017,female_secondary_enroll_net_1999,female_secondary_enroll_net_2000,female_secondary_enroll_net_2001,female_secondary_enroll_net_2002,female_secondary_enroll_net_2003,female_secondary_enroll_net_2004,female_secondary_enroll_net_2005,female_secondary_enroll_net_2006,female_secondary_enroll_net_2007,female_secondary_enroll_net_2008,female_secondary_enroll_net_2009,female_secondary_enroll_net_2010,female_secondary_enroll_net_2011,female_secondary_enroll_net_2012,female_secondary_enroll_net_2013,female_secondary_enroll_net_2014,female_secondary_enroll_net_2015,female_secondary_enroll_net_2016,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,fruit_veg_availability_1999,fruit_veg_availability_2000,fruit_veg_availability_2001,fruit_veg_availability_2002,fruit_veg_availability_2003,fruit_veg_availability_2004,fruit_veg_availability_2005,fruit_veg_availability_2006,fruit_veg_availability_2007,fruit_veg_availability_2008,fruit_veg_availability_2009,fruit_veg_availability_2010,fruit_veg_availability_2011,fruit_veg_availability_2012,fruit_veg_availability_2013
JPN,Japan,Asia,Eastern Asia,33010.98,33871.86,33927.64,33888.78,34333.13,35078.26,35658.15,36141.59,36697.24,36278.37,34317.67,35749.76,35774.7,36367.6,37148.6,37337.32,37882.98,38282.5,39002.22,127484.45,4.7,4.5,4.3,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,3,2.9,2.8,3,2.7,2.6,0.20,1.75,76.69,288.57,32.57,0.48,12.67,25.41,5.91,0.07,29.02,0.00,Yes,Yes,Yes,No,Yes,No,experiencing one form of malnutrition,0.10,22.00,No data,No data,No data,No data,No data,No data,No data,96.22,96.29,96.92,97.50,98.31,98.79,99.19,99.46,99.29,99.92,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,457.31,449.93,452.63,449.02,446.39,446.75,460.67,441.98,445.67,432.69,419.56,405.35,417.74,434.76,425.05
KAZ,Kazakhstan,Asia,Central Asia,9036.16,9951.56,11314.25,12422.53,13532.23,14728.62,16014.31,17541.33,18885.24,19272.21,18995.89,20096.56,21276.93,21986.32,22972.43,23587.34,23524.06,23447.02,24055.59,18204.5,45.5,43,40.6,38.2,35.9,33.7,31.5,29.3,27.1,24.8,22.6,20.4,18.3,16.4,14.7,13.2,12,10.9,10,97.81,91.15,56.09,357.83,19.07,0.96,3.58,43.53,4.74,0.09,93.20,0.00,No,No,Yes,No,No,No,experiencing two forms of malnutrition,0.20,43.00,No data,90.29,No data,No data,No data,No data,No data,93.59,No data,No data,No data,91.89,92.37,No data,93.69,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,233.00,280.29,364.40,415.00,449.12,486.76,512.05,488.91,513.91,547.43,584.76,641.79,737.41,780.15,788.68
KEN,Kenya,Africa,Eastern Africa,2178.33,2132.16,2153.13,2106.73,2110.25,2158.27,2224.03,2303.83,2394.84,2335.25,2347.2,2476.01,2556.96,2602.6,2683.05,2753.24,2836,2926.53,2993.03,49699.86,108.2,104.5,100,95.1,89.9,84.7,79.2,74.3,69.9,65.4,61.1,58.4,56.3,54.4,52.3,50.5,48.7,47.1,45.6,29.84,58.46,71.49,82.37,36.06,0.41,0.76,10.67,2.38,0.07,94.88,0.00,Yes,Yes,Yes,No,Yes,Yes,experiencing three forms of malnutrition,0.55,135.00,No data,33.14,No data,34.60,35.77,39.26,41.12,41.06,41.81,47.71,46.87,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No data,No progress or worsening,No progress or worsening,304.07,281.71,295.31,284.44,267.96,253.98,290.00,283.11,293.67,299.73,306.32,333.01,264.06,281.86,287.62
KGZ,Kyrgyzstan,Asia,Central Asia,1991.3,2074.51,2164.27,2144.12,2270.92,2401.27,2370.17,2417.58,2599.21,2790.93,2837.03,2790.17,2920.6,2869.84,3120.54,3181.64,3237.6,3309.86,3393.47,6045.12,51.7,49.5,47.3,45.2,43.2,41.3,39.5,37.7,35.8,33.7,31.6,29.6,27.8,26.2,24.8,23.5,22.3,21.1,20,96.59,20.96,45.53,269.90,23.99,0.74,1.16,26.36,4.77,0.08,104.13,0.00,No,No,Yes,No,Yes,No,experiencing two forms of malnutrition,0.39,90.00,No data,No data,No data,No data,No data,82.66,80.83,80.87,80.64,No data,No data,No data,No data,No data,No data,81.34,82.86,85.49,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,350.05,428.76,475.57,381.93,442.10,463.81,458.62,542.03,524.14,491.27,508.65,504.13,488.52,490.49,494.09
KHM,Cambodia,Asia,South-eastern Asia,1279.24,1384.96,1458.08,1525.44,1627.07,1766.42,1969.29,2148.33,2332.73,2452.28,2417.88,2522.93,2658.71,2807.01,2964.2,3124.32,3290.95,3465.13,3645.07,16005.37,114,107,97.4,87.3,78.5,71.3,65.3,60.4,56,51.9,48.1,44.4,41.1,38.1,35.7,33.6,32,30.6,29.2,48.83,50.87,41.16,73.22,21.28,0.17,0.47,12.42,2.90,0.05,82.75,0.00,No,Yes,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.47,114.00,10.40,11.18,12.41,16.68,20.72,23.36,No data,29.94,33.69,36.68,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,166.74,171.78,161.40,162.23,156.52,160.28,160.49,163.04,162.10,159.76,170.95,166.52,176.07,176.83,174.28
KIR,Kiribati,Oceania,Micronesia,1921.85,2007.13,1944.17,1983.5,1987.97,1920,1976.16,1904.99,1905.48,1829.83,1796.3,1731.54,1706.48,1762.06,1830.94,1815.13,1967.3,1955.16,1981.13,116.4,73.2,71.2,69.4,67.9,66.8,66.3,66.2,66.3,66.4,66.3,65.8,64.9,63.7,62.3,60.9,59.3,57.8,56.2,54.6,39.77,64.39,55.56,62.58,18.57,0.24,0.42,12.27,2.59,0.11,107.71,0.00,No,No,Yes,Yes,No,Yes,No data,No data,No data,No data,No data,No data,No data,73.57,74.15,72.95,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,358.25,380.30,350.46,343.81,309.55,338.85,337.30,388.64,359.81,354.71,363.29,357.84,362.66,339.94,386.97
KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,18447.92,20173.27,20990.53,21231.99,20176.74,20614.66,22127.65,22254.38,21959.4,23086.47,22145.5,21412.2,21689.3,21319.23,22399.09,23483.01,24169.86,24463.62,24654.39,55.35,23.9,22.5,21.1,19.8,18.7,17.6,16.7,15.9,15.3,14.8,14.4,14.2,14,13.9,13.9,13.9,13.9,13.8,13.7,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,Yes,Yes,No,No,Yes,No,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,390.47,468.64,497.54,407.39,434.65,399.87,386.80,450.75,461.20,339.48,359.40,332.56,287.91,259.07,274.56
KOR,Republic of Korea,Asia,Eastern Asia,19216.14,20756.78,21530.26,22997.19,23549.37,24605.53,25516.82,26697.03,28013.7,28588.37,28642.84,30352.1,31228.51,31776.9,32548.72,33425.69,34177.65,35020.41,35938.37,50982.21,7.9,7.5,7.1,6.7,6.3,5.9,5.5,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.5,3.4,3.3,1.42,1.57,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,Yes,Yes,Yes,No,No,Yes,experiencing one form of malnutrition,0.06,10.00,93.17,92.99,93.84,93.81,94.85,95.74,96.33,94.95,94.31,93.41,94.46,94.68,95.38,96.56,98.25,98.94,98.08,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,770.56,836.29,846.15,757.41,771.23,819.80,799.64,807.97,808.38,813.63,796.33,723.35,791.26,725.76,747.25
KWT,Kuwait,Asia,Western Asia,69981.56,69920.18,68472.83,69392.77,80462.6,87555.16,93469.54,96244.34,96870.43,93698.46,81922.54,75204.15,77459.54,77618,74084.52,70832.37,68476.33,68861.79,65530.54,4136.53,13,12.7,12.5,12.3,12.2,12,11.8,11.6,11.5,11.3,11.1,10.8,10.4,10,9.5,9.1,8.8,8.4,8.1,0.00,0.00,96.76,300.46,29.51,0.69,2.64,22.71,3.78,0.09,99.39,0.00,Yes,No,Yes,No,No,No,experiencing two forms of malnutrition,0.27,57.00,83.92,82.19,81.52,No data,No data,No data,No data,93.43,91.87,91.13,87.93,89.69,87.22,87.94,86.81,86.42,89.11,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,856.86,847.82,818.91,631.07,604.70,648.81,655.24,918.13,798.06,627.88,659.20,588.31,646.48,625.49,909.98
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia,2388.27,2485.03,2586.57,2698.44,2819.9,2954.2,3115,3328.35,3520.75,3732.01,3946.86,4218.78,4495.15,4794.11,5115.59,5436.48,5755.06,6073.22,6397.36,6858.16,116,112.6,109.1,105.7,102.4,99.1,95.9,92.6,89.4,86.3,83.3,80.4,77.7,75,72.5,70.1,67.9,65.6,63.4,72.59,80.45,90.76,215.96,19.99,0.20,0.62,15.44,2.89,0.03,77.67,0.00,Yes,No,Yes,No,No,No,experiencing two forms of malnutrition,0.46,108.00,22.52,24.05,25.75,26.72,30.00,31.74,32.14,31.59,32.74,34.06,35.69,37.78,38.51,41.70,45.68,51.36,55.17,58.27,No progress or worsening,No data,No progress or worsening,No data,206.42,398.70,394.47,544.22,481.66,490.89,523.68,490.99,543.97,407.06,507.93,585.62,709.77,630.61,802.16
LBN,Lebanon,Asia,Western Asia,12673.99,12531.82,12534.64,12363.02,12145.57,12325.06,12269.32,12243.79,13293.13,14597.63,15788.41,16451.76,15693.69,15057.29,14400.64,13831.38,13352.71,13267.89,13367.57,6082.36,21.1,20,18.8,17.6,16.5,15.3,14.2,13.1,12.2,11.4,10.8,10.3,9.8,9.4,9,8.7,8.4,8.1,7.8,75.29,44.73,145.95,337.01,35.04,0.57,1.13,20.18,4.22,0.07,110.98,0.00,No,Yes,No,No,No,No,experiencing two forms of malnutrition,0.38,84.00,No data,No data,No data,No data,No data,No data,No data,69.31,69.67,69.97,71.08,69.55,69.73,64.99,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,1347.51,1156.31,1086.85,1018.23,1002.45,970.16,902.47,812.73,838.47,832.22,691.33,774.70,805.93,836.14,818.01
LBR,Liberia,Africa,Western Africa,687.87,838.7,832.41,843.51,579.14,583.05,597.89,624.05,656.87,674.98,683.06,699.65,734.33,771.91,818.59,804.72,785.25,753.56,752.79,4731.91,198.7,186.1,173.4,161,149.1,138,128.3,119.9,113,107.1,102.1,97.5,93.4,89.7,86.3,83,80.1,77.4,74.7,16.89,69.90,65.47,58.66,27.94,0.14,0.45,4.16,2.70,0.12,83.52,0.00,Yes,No,No,No,No,Yes,experiencing three forms of malnutrition,0.66,152.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,15.17,14.48,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,244.59,249.88,245.26,248.74,252.40,257.22,255.76,209.01,199.51,200.55,185.62,197.43,194.32,192.34,193.25
LBY,Libya,Africa,Northern Africa,21470.71,21921.55,21199.38,20665.84,22987.91,23639.72,26044.5,27319,28621.63,28983.52,28435.18,29630.22,11192.79,24956.38,21570.27,16371.9,14847.2,14298.46,17881.51,6374.62,28.9,28.1,27.3,26.4,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6,17.6,15,14.4,13.8,13.3,12.8,12.4,73.45,96.75,110.78,227.45,38.23,0.49,0.97,13.39,4.22,0.06,105.36,0.00,No,No,No,No,No,Yes,experiencing three forms of malnutrition,0.17,38.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
LCA,Saint Lucia,Latin America and the Caribbean,Caribbean,11047.24,10926.56,10463.23,10413.41,10782.2,11472.73,11328.99,11910.74,11892.86,12421.86,12436.01,12123.84,12112.4,12064.77,12415.73,12335.54,12522.04,12671.26,12951.84,178.84,18.3,18.1,18,18,18.1,18.2,18.3,18.4,18.5,18.5,18.5,18.4,18.3,18.1,17.9,17.6,17.3,17,16.6,90.91,98.16,110.98,86.84,95.40,0.38,1.22,15.61,3.09,0.09,211.36,0.00,Yes,Yes,Yes,No,Yes,No,experiencing two forms of malnutrition,0.33,73.00,68.40,69.51,67.53,67.60,70.57,61.39,74.34,76.10,82.47,82.75,85.34,83.72,83.48,83.02,81.16,No data,79.71,79.67,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,546.29,577.79,511.49,508.26,525.30,433.81,456.26,439.88,423.21,376.66,367.45,371.68,340.66,333.98,324.87
LIE,Liechtenstein,Europe,Western Europe,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,37.92,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.63,0.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No,No data,No,No data,No data,No data,No data,No data,No data,No data,No data,No data,87.69,89.68,No data,No data,No data,86.73,85.73,85.80,85.86,87.21,No data,No data,84.23,83.76,No data,No data,No Data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
LKA,Sri Lanka,Asia,Southern Asia,5259.81,5541.91,5418.44,5590.04,5874.02,6143.59,6476.24,6921.25,7339.2,7723.24,7945.07,8529.57,9193.36,9980.02,10238.71,10650.39,11079.71,11445.46,11669.08,20876.92,17.1,16.5,16,15.6,15.2,29.2,14.3,13.5,12.8,12.3,11.9,11.6,11.2,10.8,10.4,10,9.5,9.1,8.8,94.21,92.31,54.10,79.52,38.41,0.29,0.82,1.78,2.90,0.11,101.50,0.00,Yes,Yes,Yes,Yes,Yes,Yes,experiencing one form of malnutrition,0.35,79.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,85.83,86.99,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,200.48,198.28,200.17,179.71,174.51,176.58,187.02,184.18,197.17,197.95,193.73,201.67,211.06,214.25,225.73
LSO,Lesotho,Africa,Southern Africa,1731.57,1781.18,1827.74,1825.14,1892.66,1909.13,1959.28,2025.42,2105.5,2227.57,2253.83,2365.68,2500.01,2617.3,2631,2677.2,2708.15,2736.35,2851.15,2233.34,113.5,116.9,119.6,121.7,123.3,124,123.8,122.7,119.3,117.1,110,99.2,98.4,97.4,95.8,94.7,93.8,88.9,85.9,43.79,71.59,25.56,41.96,17.03,0.18,0.66,10.77,3.12,0.04,90.80,0.00,Yes,No,Yes,No,Yes,Yes,experiencing three forms of malnutrition,0.54,133.00,23.71,25.71,27.77,28.13,28.81,29.75,31.53,31.50,32.67,34.75,37.53,40.79,42.39,42.40,42.50,42.88,44.85,44.77,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,103.75,104.42,105.35,105.43,110.93,109.06,112.24,109.67,111.33,116.74,103.72,105.62,110.54,110.32,128.06
LTU,Lithuania,Europe,Northern Europe,11657.83,12189.96,13092.73,14090.56,15702.53,16920.01,18526.73,20219.12,22729.21,23567.7,20300.5,21070.63,22854.33,24049.35,25143.92,26258.21,27045.71,28033.87,29524.26,2890.3,11.2,10.7,10.3,9.9,9.5,9.3,9,8.7,8.1,7.4,6.7,6,5.5,5.2,5,5,5,4.7,4.3,32.42,5.69,77.57,185.85,18.93,0.81,9.53,40.41,3.99,0.07,101.48,0.01,Yes,No,Yes,No,Yes,No,No data,0.12,28.00,91.08,92.31,93.19,94.93,96.58,97.63,97.46,96.27,95.42,94.62,94.29,93.72,93.04,92.14,92.62,93.36,93.66,93.49,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,435.98,435.97,457.23,403.14,503.41,444.98,519.11,536.32,536.71,444.76,449.80,375.50,413.85,457.31,433.08
LUX,Luxembourg,Europe,Western Europe,76492.39,81689.82,82766.99,85032.71,85374.34,87209.82,88610.29,91724.18,97864.2,94900.35,89098.73,91743.29,92005.02,89505.16,90656.38,93655.33,94088.59,94920.96,94277.97,583.46,5,4.8,4.5,4.2,4,3.8,3.6,3.4,3.3,3.1,3,3,2.9,2.8,2.8,2.7,2.7,2.6,2.6,3.92,1.76,192.47,160.04,30.51,1.03,9.02,53.03,4.20,0.09,92.89,0.00,Yes,No,Yes,No,No,No,No data,0.07,11.00,86.34,86.45,83.97,82.71,82.62,82.15,85.64,85.59,85.79,86.37,No data,88.49,88.29,87.53,86.94,86.51,86.15,No data,On course,No progress or worsening,No progress or worsening,No progress or worsening,No data,822.25,825.95,889.33,908.80,794.37,758.14,787.94,752.93,808.74,702.63,784.51,853.22,849.86,844.57
LVA,Latvia,Europe,Northern Europe,10500.22,11175.15,12051.86,13058.75,14297.2,15658.91,17522.27,19786.22,21939.07,21384.31,18609.33,18251.95,19773.38,20827.91,21563.72,22172.25,23018.82,23743.26,25063.85,1949.67,15.4,14.3,13.4,12.6,11.9,11.1,10.5,9.9,9.3,8.8,8.3,7.8,7.3,6.7,6.1,5.5,5,4.6,4.2,14.49,16.66,62.87,191.84,19.21,0.82,8.62,32.69,3.99,0.11,107.09,0.02,Yes,Yes,Yes,Yes,No,No,No data,0.20,42.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,89.34,86.82,84.84,84.56,84.51,89.19,91.79,94.25,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,367.35,356.36,412.60,421.84,450.83,441.90,455.72,445.29,457.42,434.54,421.51,419.22,440.34,430.23,441.19
MAR,Morocco,Africa,Northern Africa,4453.47,4483.81,4754.19,4843.99,5071.72,5252.3,5361.66,5700.92,5834.01,6106.85,6287.87,6443.25,6688.4,6791.34,6995.94,7078.88,7296.93,7285.91,7485.01,35739.58,52.1,49.8,47.6,45.5,43.6,41.7,39.9,38.2,36.6,35,33.5,32,30.6,29.2,27.9,26.6,25.4,24.3,23.3,45.39,14.17,186.00,239.94,44.61,0.40,0.68,13.03,4.22,0.04,105.14,0.00,Yes,No,Yes,No,Yes,Yes,experiencing two forms of malnutrition,0.48,117.00,No data,No data,No data,No data,No data,No data,37.38,39.91,42.77,44.70,No data,48.37,50.99,53.60,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,444.98,438.38,413.04,484.78,522.46,612.00,540.43,639.37,555.60,535.16,594.07,589.62,624.39,623.46,595.64
MCO,Monaco,Europe,Western Europe,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,38.7,5.3,5.2,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4,3.3,0.00,0.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No,No data,No,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No Data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
MDA,Republic of Moldova,Europe,Eastern Europe,2268.5,2321.03,2468.12,2666.81,2850.83,3069.38,3307.62,3476.03,3588.62,3875.9,3647.95,3910.86,4179.21,4150.5,4541.87,4762.78,4746.78,4963.4,5189.97,4051.21,34.3,31.5,28.5,25.6,23,21.1,19.6,18.7,18,17.6,17.4,17.2,17,16.8,16.5,16.3,16,15.7,15.5,78.40,16.74,55.93,182.81,23.22,0.57,2.11,17.12,4.01,0.08,95.55,0.00,Yes,No,Yes,No,Yes,No,experiencing two forms of malnutrition,0.23,48.00,No data,79.33,79.26,80.23,81.72,83.18,83.22,83.06,81.85,85.22,80.48,79.32,78.39,78.33,77.72,77.18,76.61,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,439.41,361.81,436.11,400.44,408.77,352.07,400.93,504.11,309.82,464.85,401.41,409.84,418.81,368.23,397.75
MDG,Madagascar,Africa,Eastern Africa,1422.1,1444.03,1484.41,1257.29,1339.26,1368.18,1389.5,1417.28,1462.86,1523.02,1421.19,1385.69,1367.54,1370.95,1364.35,1372.02,1377.17,1396.67,1416.44,25570.9,113.2,107.1,101.3,95.8,90.7,86,81.5,77.3,73.3,69.4,65.5,61.8,58.3,55,52.3,49.9,47.8,45.9,44.2,9.69,50.62,59.93,34.30,23.36,0.22,0.47,9.45,2.60,0.05,85.21,0.00,Yes,No,Yes,No,No,Yes,experiencing two forms of malnutrition,No data,No data,No data,No data,No data,No data,No data,No data,17.49,No data,21.87,23.80,24.79,No data,29.92,31.14,No data,31.57,31.14,31.06,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,187.34,182.95,181.13,179.34,183.20,182.53,175.70,171.37,174.88,154.16,171.00,177.33,181.00,178.27,171.80
MDV,Maldives,Asia,Southern Asia,9608.67,9768.23,9165.84,9587.74,10622.12,10965.01,9274.06,11390.74,11951.81,12744.78,11508.4,12005.5,12664.99,12611.59,13148.73,13737.41,13705.01,14231.53,15183.62,436.33,49.1,43.8,38.6,33.8,29.6,28.7,22.6,20,17.8,16,14.4,13.1,11.9,10.8,10,9.3,8.8,8.3,7.9,95.87,97.88,133.77,147.40,17.74,0.50,1.10,6.98,2.86,0.10,112.04,0.00,Yes,No,Yes,No,Yes,Yes,experiencing three forms of malnutrition,0.34,75.00,31.15,39.63,No data,51.21,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No data,No progress or worsening,No data,304.58,346.44,346.49,354.18,372.60,465.59,408.85,502.73,498.14,522.69,451.67,467.01,502.24,655.85,680.54
MEX,Mexico,Latin America and the Caribbean,Central America,15155.64,15682.81,15415.2,15218.79,15251.14,15648.34,15791.54,16258.54,16371.75,16293.03,15185.54,15715.97,16049.36,16394.63,16385.06,16622.6,16938.61,17206.63,17336.47,129163.28,28.3,26.8,25.3,23.9,22.7,21.6,20.6,19.8,19,18.4,17.8,17.3,16.8,16.4,15.9,15.4,14.8,14.1,13.4,44.06,55.70,138.11,125.17,183.11,0.52,7.58,33.90,3.47,0.07,283.49,0.01,Yes,Yes,Yes,Yes,Yes,Yes,experiencing one form of malnutrition,0.34,75.00,53.85,55.34,No data,60.32,63.21,65.01,66.63,68.01,69.38,70.11,69.98,69.66,69.36,69.58,72.69,74.41,76.82,78.61,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,462.25,464.07,500.25,486.27,488.84,493.49,471.40,476.89,477.23,474.63,444.71,420.98,417.26,432.62,447.41
MHL,Marshall Islands,Oceania,Micronesia,2737.05,2893.84,3047.64,3128.86,3136.71,3142.96,3235.77,3280.81,3396.82,3335.76,3274.79,3479.16,3513.29,3626.42,3720.96,3685.46,3665.38,3730.33,3819.2,53.13,40.6,40.7,40.7,40.6,40.3,40.1,39.9,39.6,39.4,39.2,39,38.8,38.5,38.1,37.5,36.7,35.8,34.9,34,86.89,78.16,78.87,63.88,16.86,0.25,0.68,15.77,2.59,0.15,97.44,0.00,Yes,No,Yes,Yes,No,Yes,No data,No data,No data,No data,No data,No data,64.45,No data,No data,No data,No data,64.73,No data,No data,No data,No data,No data,No data,No data,68.61,67.05,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
MKD,The former Yugoslav Republic of Macedonia,Europe,Southern Europe,8288.01,8620.65,8323.41,8422.68,8590.99,8976.74,9386.03,9854.45,10480.62,11043.83,10995.1,11355.37,11611.85,11549.67,11877.77,12298.49,12759.82,13120.87,13111.21,2083.16,16.9,16,15.2,14.6,14.2,14,13.7,13.1,12.3,11.5,10.9,10.4,10.3,10.4,10.8,11.4,12.2,13,13.7,90.91,13.28,127.55,314.91,20.41,0.69,4.45,20.66,4.64,0.08,103.50,0.00,Yes,Yes,Yes,No,Yes,No,experiencing two forms of malnutrition,0.15,35.00,No data,No data,No data,No data,No data,No data,77.59,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No progress or worsening,No progress or worsening,No progress or worsening,No progress or worsening,762.48,829.27,753.43,626.94,680.03,674.63,678.23,609.29,724.05,702.12,848.59,827.19,807.62,812.97,825.42
MLI,Mali,Africa,Western Africa,1505.54,1462.92,1639.2,1639.93,1734.89,1706.96,1760.69,1783.11,1784.88,1808.89,1832.81,1871.98,1874.7,1804.94,1793.72,1865.16,1919.23,1971.08,2014.31,18541.98,226.4,219.5,211.2,201.8,191.7,181.4,171.3,162.4,154.6,147.7,141.5,135.7,130.7,125.9,121.6,117.7,113.7,109.6,106,31.27,74.27,45.44,118.04,27.62,0.47,1.05,17.88,2.70,0.07,73.14,0.00,No,No,No,No,No,Yes,experiencing three forms of malnutrition,0.68,154.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,21.53,22.50,24.68,26.00,No data,28.95,29.79,27.67,27.69,No progress or worsening,No data,No progress or worsening,No progress or worsening,217.40,228.16,225.64,235.17,232.02,228.73,229.70,192.33,248.45,171.68,269.42,242.38,238.40,251.79,233.67
MLT,Malta,Europe,Southern Europe,23211.87,24623.95,24588.37,25133.73,25604.11,25545.49,26343.59,26727.78,27696.51,28437.74,27529.19,28364.8,28618.5,29131.73,30050.13,31846.19,34087.08,35058.43,36513.32,430.84,8,7.7,7.5,7.3,7.1,7,6.9,6.8,6.8,6.7,6.7,6.7,6.6,6.6,6.6,6.6,6.6,6.5,6.4,6.93,0.06,102.96,273.98,33.72,0.74,6.20,40.03,4.03,0.08,112.75,0.00,Yes,Yes,Yes,No,Yes,No,No data,0.22,45.00,79.60,82.57,81.86,83.20,87.79,90.84,89.69,87.09,No data,81.16,No data,82.46,No data,90.33,89.49,90.50,91.98,91.78,On course,No progress or worsening,No progress or worsening,No progress or worsening,790.34,784.26,776.10,764.86,786.05,877.12,859.72,863.09,830.06,839.43,824.01,750.58,792.72,776.46,763.35
